Execution Time, Current_Position, Buy_Sell, Trigger_Price, Execution_Price, PNL, REASON, RULE
20160420  13:04:40,-1,SELL,21198,21200,0,Place the Sell trade because TrendSellLine=21198;,Rev Sell Rule
20160420  15:46:56,0,BUY,21257,21255,-55,Cut Loss BUY trade| tickClose = 21198 | cutLossPrice = 21257 ,Cutloss Loss Rule
