Execution Time, Current_Position, Buy_Sell, Trigger_Price, Execution_Price, PNL, REASON, RULE
20160414  09:48:04,-1,SELL,21378,21378,0,Place the SELL trade because RevSellLine=21378;,Rev Sell Rule
20160414  16:14:01,0,BUY,21344,21347,31,[Strategy] : Dayend Exit BUY Generated !!! | MarketDataElement=IBTradeRealTime.MarketData.MarketDataElement,Day Exit Rule
